domain,epochs,iter,样本数,F1,EM
bridgebart_finetune,10,2,256,0.7358,0.5911
bridgebart_finetune,10,2,2844,0.9255,0.8505
bridgebart_finetune,10,2,2048,0.8715,0.7523
bridgebart_finetune,10,2,1024,0.8476,0.7243
bridgebart_finetune,10,2,128,0.5886,0.4533
bridgebart_finetune,10,2,64,0.2224,0.1355
bridgebart_finetune,10,2,32,0.1552,0.0888
bridgebart_finetune,10,2,512,0.8204,0.7173
bridgebart_finetune,10,2,16,0.1242,0.0421
bridgebart_finetune,10,2,256,0.7668,0.6285
bridgebart_finetune,10,2,2048,0.8921,0.7967
bridgebart_finetune,10,2,1024,0.8326,0.7009
bridgebart_finetune,10,2,128,0.6420,0.5000
bridgebart_finetune,10,2,64,0.2062,0.1262
bridgebart_finetune,10,2,2844,0.9325,0.8645
bridgebart_finetune,10,2,32,0.1493,0.0748
bridgebart_finetune,10,2,512,0.8106,0.6659
bridgebart_finetune,10,2,16,0.0992,0.0304
bridgebart_finetune,10,2,256,0.7587,0.6285
bridgebart_finetune,10,2,2048,0.8795,0.7850
bridgebart_finetune,10,2,1024,0.8274,0.6939
bridgebart_finetune,10,2,128,0.4935,0.3762
bridgebart_finetune,10,2,64,0.2042,0.1215
bridgebart_finetune,10,2,2844,0.9160,0.8411
bridgebart_finetune,10,2,32,0.1359,0.0561
bridgebart_finetune,10,2,512,0.8029,0.6519
bridgebart_finetune,10,2,16,0.0905,0.0257
bridgebart_finetune,10,2,256,0.7621,0.6168
bridgebart_finetune,10,2,2048,0.8873,0.7780
bridgebart_finetune,10,2,1024,0.8493,0.7220
bridgebart_finetune,10,2,128,0.6208,0.5047
bridgebart_finetune,10,2,64,0.2786,0.1893
bridgebart_finetune,10,2,32,0.1393,0.0818
bridgebart_finetune,10,2,512,0.8281,0.6963
bridgebart_finetune,10,2,16,0.0715,0.0187
bridgebart_finetune,10,2,2844,0.9164,0.8411
bridgebart_finetune,10,2,256,0.7452,0.6121
bridgebart_finetune,10,2,2048,0.8849,0.7827
bridgebart_finetune,10,2,1024,0.8501,0.7290
bridgebart_finetune,10,2,128,0.6515,0.5117
bridgebart_finetune,10,2,64,0.2272,0.1402
bridgebart_finetune,10,2,2844,0.9242,0.8528
bridgebart_finetune,10,2,32,0.1502,0.0748
bridgebart_finetune,10,2,512,0.8103,0.6729
bridgebart_finetune,10,2,16,0.0858,0.0093
bridgebart_finetune,10,2,256,0.7292,0.5701
bridgebart_finetune,10,2,2048,0.8717,0.7710
bridgebart_finetune,10,2,1024,0.8250,0.7103
bridgebart_finetune,10,2,128,0.6459,0.5093
bridgebart_finetune,10,2,64,0.2502,0.1589
bridgebart_finetune,10,2,32,0.1407,0.0701
bridgebart_finetune,10,2,512,0.8073,0.6682
bridgebart_finetune,10,2,16,0.0955,0.0304
bridgebart_finetune,10,2,256,0.7688,0.6168
bridgebart_finetune,10,2,2844,0.9254,0.8551
bridgesplinter,10,2,2844,0.9358,0.8692
bridgesplinter,10,2,32,0.4894,0.3341
bridgesplinter,10,2,16,0.3761,0.2313
bridgesplinter,10,2,256,0.7868,0.6659
bridgesplinter,10,2,512,0.8398,0.7126
bridgesplinter,10,2,64,0.7040,0.5421
bridgesplinter,10,2,2048,0.8855,0.7897
bridgesplinter,10,2,1024,0.8551,0.7290
bridgesplinter,10,2,128,0.7318,0.5794
bridgesplinter,10,2,32,0.4975,0.3575
bridgesplinter,10,2,16,0.3312,0.2103
bridgesplinter,10,2,256,0.7775,0.6425
bridgesplinter,10,2,512,0.8001,0.6729
bridgesplinter,10,2,2844,0.9222,0.8551
bridgesplinter,10,2,64,0.6376,0.4650
bridgesplinter,10,2,2048,0.8966,0.8061
bridgesplinter,10,2,1024,0.8835,0.7874
bridgesplinter,10,2,128,0.7334,0.5561
bridgesplinter,10,2,32,0.3914,0.2827
bridgesplinter,10,2,16,0.2823,0.1332
bridgesplinter,10,2,256,0.7972,0.6729
bridgesplinter,10,2,512,0.8175,0.6846
bridgesplinter,10,2,64,0.6240,0.4416
bridgesplinter,10,2,2048,0.8753,0.7757
bridgesplinter,10,2,1024,0.8361,0.7033
bridgesplinter,10,2,128,0.7156,0.5537
bridgesplinter,10,2,2844,0.9348,0.8738
bridgesplinter,10,2,2844,0.9207,0.8481
bridgesplinter,10,2,32,0.4966,0.3645
bridgesplinter,10,2,16,0.3274,0.2103
bridgesplinter,10,2,256,0.7705,0.6051
bridgesplinter,10,2,512,0.8124,0.6822
bridgesplinter,10,2,64,0.6370,0.4813
bridgesplinter,10,2,2048,0.8834,0.7804
bridgesplinter,10,2,1024,0.8667,0.7477
bridgesplinter,10,2,128,0.7131,0.5631
bridgesplinter,10,2,32,0.5663,0.3995
bridgesplinter,10,2,2844,0.9364,0.8832
bridgesplinter,10,2,16,0.3168,0.1893
bridgesplinter,10,2,256,0.8080,0.6752
bridgesplinter,10,2,512,0.8231,0.7266
bridgesplinter,10,2,64,0.5778,0.4322
