domain,epochs,iter,样本数,F1,EM
bridgeours_4,10,2,256,0.7775999999999998,0.64228
bridgeours_4,10,2,512,0.8154600000000001,0.68084
bridgeours_4,10,2,1024,0.84641,0.73014
bridgeours_4,10,2,2048,0.8775600000000001,0.77968
bridgeours_4,10,2,2844,0.9172399999999999,0.8507100000000001
bridgeours_4_bart,10,1,16,0.5607,0.42242999999999997
bridgeours_4_bart,10,1,32,0.6384299999999999,0.49112999999999996
bridgeours_4_bart,10,1,64,0.7015,0.56215
bridgeours_4_bart,10,1,128,0.7521099999999998,0.60795
bridgeours_4_bart,10,1,256,0.7925700000000001,0.65328
bridgeours_4_bart,10,1,512,0.8263999999999999,0.6878500000000001
bridgeours_4_bart,10,1,1024,0.85054,0.7299200000000001
bridgeours_4_bart,10,1,2048,0.8815500000000001,0.7766299999999999
bridgeours_4_bart,10,1,2844,0.92235,0.8537399999999999
bridgeours_4_bart,10,2,16,0.57709,0.43483
bridgeours_4_bart,10,2,32,0.6399400000000001,0.48552999999999996
bridgeours_4_bart,10,2,64,0.71172,0.5665899999999999
bridgeours_4_bart,10,2,128,0.7570599999999998,0.61168
bridgeours_4_bart,10,2,256,0.8009100000000002,0.6642499999999999
bridgeours_4_bart,10,2,512,0.8298099999999999,0.69369
bridgeours_4_bart,10,2,1024,0.8529900000000001,0.7313100000000001
bridgeours_4_bart,10,2,2048,0.8847200000000001,0.7819900000000001
bridgeours_4_bart,10,2,2844,0.9250499999999999,0.85816
bridgeours_4_macbert,10,1,16,0.63652,0.48412
bridgeours_4_macbert,10,1,32,0.6817799999999999,0.51589
bridgeours_4_macbert,10,1,64,0.7194,0.56611
bridgeours_4_macbert,10,1,128,0.7782199999999999,0.6385699999999999
bridgeours_4_macbert,10,1,256,0.8134,0.6803799999999999
bridgeours_4_macbert,10,1,512,0.8433200000000001,0.7081899999999999
bridgeours_4_macbert,10,1,1024,0.8634000000000001,0.7422900000000001
bridgeours_4_macbert,10,1,2048,0.88771,0.7871400000000001
bridgeours_4_macbert,10,1,2844,0.91744,0.8479000000000001
bridgeours_4_macbert,10,2,16,0.61852,0.46751
bridgeours_4_macbert,10,2,32,0.6759199999999999,0.51215
bridgeours_4_macbert,10,2,64,0.7277799999999999,0.5722
bridgeours_4_macbert,10,2,128,0.78491,0.63786
bridgeours_4_macbert,10,2,256,0.8210899999999999,0.68857
bridgeours_4_macbert,10,2,512,0.8446699999999998,0.7074800000000001
bridgeours_4_macbert,10,2,1024,0.86638,0.7469599999999998
bridgeours_4_macbert,10,2,2048,0.88927,0.7871599999999999
bridgeours_4_macbert,10,2,2844,0.9206,0.8518700000000001
bridgeours_4_macbert,10,3,16,0.6117199999999999,0.46029
bridgeours_4_macbert,10,3,32,0.6675700000000001,0.50164
bridgeours_4_macbert,10,3,64,0.72794,0.5701099999999999
bridgeours_4_macbert,10,3,128,0.7813300000000001,0.63576
bridgeours_4_macbert,10,3,256,0.82355,0.6906599999999999
bridgeours_4_macbert,10,3,512,0.8437700000000001,0.7077199999999999
bridgeours_4_macbert,10,3,1024,0.8657900000000002,0.7469800000000001
bridgeours_4_macbert,10,3,2048,0.8911199999999999,0.79159
bridgeours_4_macbert,10,3,2844,0.9218299999999999,0.8542
bridgeours_4_roberta,10,1,16,0.61701,0.46051000000000003
bridgeours_4_roberta,10,1,32,0.6781200000000001,0.5168299999999999
bridgeours_4_roberta,10,1,64,0.7168699999999999,0.56915
bridgeours_4_roberta,10,1,128,0.7731600000000001,0.6245200000000001
bridgeours_4_roberta,10,1,256,0.8062400000000001,0.6724399999999999
bridgeours_4_roberta,10,1,512,0.83804,0.7051400000000001
bridgeours_4_roberta,10,1,1024,0.86373,0.7485999999999999
bridgeours_4_roberta,10,1,2048,0.8871400000000002,0.7852800000000001
bridgeours_4_roberta,10,1,2844,0.91902,0.8483499999999999
bridgeours_4_roberta,10,2,16,0.6121900000000001,0.45723
bridgeours_4_roberta,10,2,32,0.66829,0.49835
bridgeours_4_roberta,10,2,64,0.72211,0.56613
bridgeours_4_roberta,10,2,128,0.7777000000000001,0.63224
bridgeours_4_roberta,10,2,256,0.8142400000000001,0.6813200000000001
bridgeours_4_roberta,10,2,512,0.8394499999999999,0.7063200000000001
bridgeours_4_roberta,10,2,1024,0.86333,0.74556
bridgeours_4_roberta,10,2,2048,0.88957,0.7883199999999999
bridgeours_4_roberta,10,2,2844,0.92125,0.85117
bridgeours_4_roberta,10,3,16,0.6088099999999999,0.45701
bridgeours_4_roberta,10,3,32,0.66425,0.50047
bridgeours_4_roberta,10,3,64,0.72409,0.56963
bridgeours_4_roberta,10,3,128,0.78115,0.63669
bridgeours_4_roberta,10,3,256,0.8134,0.67873
bridgeours_4_roberta,10,3,512,0.84168,0.7079399999999999
bridgeours_4_roberta,10,3,1024,0.8632899999999999,0.7451000000000001
bridgeours_4_roberta,10,3,2048,0.8889099999999999,0.78761
bridgeours_4_roberta,10,3,2844,0.9234499999999999,0.8556000000000001
bridgeours_5,10,1,16,0.5668599999999999,0.42219000000000007
bridgeours_5,10,1,32,0.63056,0.47499
bridgeours_5,10,1,64,0.6827,0.53271
bridgeours_5,10,1,128,0.7467499999999999,0.60116
bridgeours_5,10,1,256,0.7790400000000002,0.6436900000000001
bridgeours_5,10,1,512,0.81599,0.6799099999999999
bridgeours_5,10,1,1024,0.84389,0.72663
bridgeours_5,10,1,2048,0.8778499999999999,0.77898
bridgeours_5,10,1,2844,0.91834,0.8528100000000001
bridgeours_5,10,2,16,0.56409,0.4121499999999999
bridgeours_5,10,2,32,0.6354199999999999,0.4738399999999999
bridgeours_5,10,2,64,0.6816699999999999,0.52476
bridgeours_5,10,2,128,0.7504299999999999,0.59743
bridgeours_5,10,2,256,0.7792600000000001,0.6385399999999999
bridgeours_5,10,2,512,0.8150099999999998,0.6687000000000001
bridgeours_5,10,2,1024,0.8487,0.72921
bridgeours_5,10,2,2048,0.8755599999999999,0.775
bridgeours_5,10,2,2844,0.9184300000000001,0.8511599999999999
bridgeours_5_bart,10,1,16,0.57569,0.43015
bridgeours_5_bart,10,1,32,0.65287,0.50374
bridgeours_5_bart,10,1,64,0.71289,0.5712599999999999
bridgeours_5_bart,10,1,128,0.76116,0.61705
bridgeours_5_bart,10,1,256,0.7966300000000001,0.6579299999999999
bridgeours_5_bart,10,1,512,0.83133,0.69533
bridgeours_5_bart,10,1,1024,0.8543800000000001,0.7336499999999999
bridgeours_5_bart,10,1,2048,0.88476,0.7817899999999999
bridgeours_5_bart,10,1,2844,0.9259999999999999,0.85771
bridgeours_5_bart,10,2,16,0.57643,0.42569999999999997
bridgeours_5_bart,10,2,32,0.64925,0.49345
bridgeours_5_bart,10,2,64,0.71362,0.56333
bridgeours_5_bart,10,2,128,0.7675500000000001,0.6229
bridgeours_5_bart,10,2,256,0.8044100000000001,0.6612199999999999
bridgeours_5_bart,10,2,512,0.83715,0.70257
bridgeours_5_bart,10,2,1024,0.85908,0.7388000000000001
bridgeours_5_bart,10,2,2048,0.8894500000000001,0.7862100000000001
bridgeours_5_bart,10,2,2844,0.92967,0.8646999999999998
bridgeours_5_macbert,10,1,16,0.6196300000000001,0.46658999999999995
bridgeours_5_macbert,10,1,32,0.68943,0.5250100000000001
bridgeours_5_macbert,10,1,64,0.72926,0.58039
bridgeours_5_macbert,10,1,128,0.7864899999999999,0.64018
bridgeours_5_macbert,10,1,256,0.82398,0.6874000000000001
bridgeours_5_macbert,10,1,512,0.8480399999999999,0.7158899999999999
bridgeours_5_macbert,10,1,1024,0.8661499999999999,0.7478999999999999
bridgeours_5_macbert,10,1,2048,0.88751,0.7862100000000001
bridgeours_5_macbert,10,1,2844,0.9189300000000001,0.8504800000000001
bridgeours_5_macbert,10,2,16,0.6127199999999999,0.45186000000000004
bridgeours_5_macbert,10,2,32,0.68175,0.51262
bridgeours_5_macbert,10,2,64,0.72693,0.5726500000000001
bridgeours_5_macbert,10,2,128,0.78917,0.6402
